date,year,month,quarter,mode,scenario,ads_revenue,cloud_revenue,new_geo_revenue,device_revenue,revenue,platform_revenue,frontier_revenue,total_mau_m,cloud_customers,cloud_arpu_annual,device_units,marketing_spend,gross_logo_adds,churn_rate,compute_units,infra_unit_cost,cogs,gross_profit,rnd_expense,snm_expense,gna_expense,opex,operating_income,sbc,interest_income,tax,net_income,platform_operating_income,frontier_operating_income,depreciation,capex,headcount_total,hc_Engineering,hc_Research,hc_Sales_Marketing,hc_G_and_A,hc_Operations,comp_Engineering,comp_Research,comp_Sales_Marketing,comp_G_and_A,comp_Operations,cash,accounts_receivable,accounts_payable,deferred_revenue,ppe_net,other_assets,total_assets,total_liabilities,retained_earnings,paid_in_capital,total_equity,balance_check,cfo,cfi,cff,net_change_in_cash,event_notes,mau_NA,mau_EU,mau_APAC,mau_LATAM,mau_ROW,arpu_NA,arpu_EU,arpu_APAC,arpu_LATAM,arpu_ROW,fx_NA,fx_EU,fx_APAC,fx_LATAM,fx_ROW,adsrev_NA,adsrev_EU,adsrev_APAC,adsrev_LATAM,adsrev_ROW
2023-01-01,2023,1,2023-Q1,plan,Base Plan,1700221279.156256,34875164.26889383,0.0,108360000.0,1843456443.4251497,1735096443.4251497,108360000.0,3228.52389749852,8781.358244717067,47658.0,252000.0,8200000.0,671.558244717066,0.011,2245016223.303392,0.084745,363328332.1115605,1480128111.313589,577663573.5188292,228368055.68712157,199033473.96907023,1005065103.1750209,475063008.13856816,296375237.6797582,87500000.0,90010081.3021709,472552926.8363973,802507475.7386398,-327444467.60007167,10753495.91998004,516167804.15904194,48811.38845140848,21167.45694900698,4246.111178190728,9847.701995540361,6119.969812671414,7430.148515998998,409237501.01413494,94829816.31292628,146074246.26718202,78539612.59594981,74920664.20298989,29832058523.293144,2304320554.281437,1815321200.253811,57544021.04367483,505414308.2390619,12000000000.0,44641793385.813644,1872865221.2974858,17107571265.806465,25661356898.709694,42768928164.51616,0.0,348226327.4521843,-516167804.15904194,0.0,-167941476.70685762,,410.6771483337873,521.2824602815979,1186.6718915571382,362.87069055440537,747.0217067715914,17.501887783612958,11.532841739302762,4.361768383693038,2.945992374582805,1.808227016324608,1.0,1.05,0.93,0.88,0.85,598968780.4526764,526038460.1414291,401139065.2268633,78394381.0710775,95680592.26420952
2023-02-01,2023,2,2023-Q1,plan,Base Plan,1700459466.476252,37696652.90460462,0.0,113778000.0,1851934119.3808568,1738156119.3808568,113778000.0,3247.1793189116784,9360.741859865104,48325.212,264600.0,8528000.0,675.9785558399254,0.011,2268992499.4919305,0.084490765,377639885.57150614,1474294233.8093505,584115449.2373517,229971796.76918876,201710789.76420954,1015798035.7707499,458496198.03860056,298634106.88802737,87010170.69293834,87281018.99704622,458225349.73449266,790904642.4997516,-332408444.46115094,21556444.949701704,518541553.4266399,49125.03887247437,21336.24922324114,4292.728604180061,9895.636182956083,6140.005001313013,7460.419860784069,412500818.3159954,95870938.82668804,146785270.0471819,78796730.85018367,75225900.26290603,30106487901.378525,2314917649.226071,1835817868.8893223,62199477.29259764,1002399416.7160002,12000000000.0,45423804967.320595,1898017346.1819198,17565796615.54096,25959991005.59772,43525787621.13868,-7.62939453125e-06,792970931.512022,-518541553.4266399,0.0,274429378.0853821,,411.3554150331013,522.5680834562224,1193.3815069591494,365.7642723984195,754.1100410647858,17.427107207056387,11.474666591490264,4.353059566761295,2.946651563297885,1.8112547929442717,1.0,1.05,0.93,0.88,0.85,597394576.4987525,524675771.28874356,402601710.88900155,79037190.10449652,96750217.69525798
2023-03-01,2023,3,2023-Q1,plan,Base Plan,1774467384.9311104,40582700.20190667,0.0,119466900.0,1934516985.133017,1815050085.133017,119466900.0,3265.9673019363117,9938.262483828988,49001.764968,277830.0,8869120.0,680.488784422401,0.011,2293326087.106611,0.084237292705,397730212.507636,1536786772.625381,590681515.8147993,231596775.29189536,204467292.5286607,1026745583.6353555,510041188.9900255,300911602.0820451,87810589.71235403,95656284.59238073,502195494.1099988,847524814.7224555,-337483625.73243,32841127.36297764,541664755.8372449,49440.96931393744,21506.387470773352,4339.857835987628,9943.80369245286,6160.105779948712,7490.814534774892,415790157.7682848,96923491.67039037,147499754.7713841,79054690.84267513,75532379.8923135,30332197404.8828,2418146231.416271,1865710508.8254728,66961455.33314602,1511223045.1902673,12000000000.0,46261566681.489334,1932671964.158619,18067992109.65096,26260902607.679768,44328894717.33073,-1.52587890625e-05,767374259.3415201,-541664755.8372449,0.0,225709503.5042752,,412.0348019450136,523.8568773244211,1200.1290595021374,368.68092807040034,761.2656350943395,18.105015473090937,11.911789444821213,4.532729573126897,3.0750992666426624,1.8929508218324698,1.0,1.05,0.93,0.88,0.85,621658038.7222025,546006371.9171286,421589187.1670089,83140233.11252445,102073554.01224582
2023-04-01,2023,4,2023-Q2,plan,Base Plan,1849921021.977001,43534911.70743284,0.0,125440245.0,2018896178.6844337,1893455933.6844337,125440245.0,3284.8888929520945,10514.030587382174,49687.789677552006,291721.5,9223884.8,685.0889908753048,0.011,2318024409.5900793,0.083984580826885,418556411.3747264,1600339767.3097072,597363720.0751379,233243573.54967418,207304607.6091967,1037911901.2340087,562427866.0756985,303207885.85425866,88468909.09757484,104143484.02772373,546753291.1455495,905098859.8557065,-342670993.780008,44618021.73863684,565290930.0316415,49759.19798070817,21677.882424583717,4387.504492653737,9992.20565973772,6180.272363303083,7521.333040429918,419105726.8752852,97987600.33593345,148217717.2861095,79313495.32905623,75840108.15766834,30591534330.388706,2523620223.355542,1896362008.5797255,71832604.31726418,2031895953.483272,12000000000.0,47147050507.227516,1968194612.8969896,18614745400.79651,26564110493.534027,45178855894.330536,-7.62939453125e-06,824627855.537545,-565290930.0316415,0.0,259336925.50590348,,412.7153109196464,525.1488497059797,1206.9147636882124,371.6208415642923,768.4891270739636,18.790925678030224,12.353488572734092,4.715206160012042,3.2060122114176948,1.976399757631829,1.0,1.05,0.93,0.88,0.85,646275227.8063511,567649277.4598864,441041024.44729066,87370870.11197904,107584622.1514938
2023-05-01,2023,5,2023-Q2,plan,Base Plan,1889065389.8009107,46554931.44751981,0.0,131712257.25,2067332578.4984305,1935620321.2484305,131712257.25,3303.945147096939,11088.155417367703,50383.41873303773,306307.575,9592840.192000002,689.7791664467339,0.011,2343095057.6925936,0.08373262708440433,437341877.13796717,1629990701.3604634,604130990.562296,234912795.28156012,210191339.083246,1049235124.9271021,580755576.4333613,305523122.27952313,89225308.46363373,107196941.58351922,562783943.3134758,928685059.5455523,-347929483.112191,56677461.779877685,578853121.9795606,50079.74323325204,21850.744903238614,4435.674254909303,10040.8432260458,6200.504966803653,7551.975882254674,422447734.79594654,99063391.69297445,148939174.51967934,79573147.07398021,76149090.14606796,30909016711.857746,2584165723.1230383,1923275451.8518012,76815636.88840769,2554071613.682955,12000000000.0,48047254048.66374,2000091088.7402089,19177529344.109985,26869633615.81355,46047162959.92354,-7.62939453125e-06,896335503.4485997,-578853121.9795606,0.0,317482381.4690391,,413.3969438101775,526.4440084399696,1213.7388352323114,374.58419834123333,775.7811612732469,19.10285561579546,12.548825245622202,4.804435929913189,3.2739500452902,2.021208409292975,1.0,1.05,0.93,0.88,0.85,658088510.8014108,578047213.0578283,451928111.38788533,89933796.56244677,111067757.9913394
2023-06-01,2023,6,2023-Q2,plan,Base Plan,1928879947.5014691,49644442.486190446,0.0,138297870.1125,2116822260.1001596,1978524389.9876597,138297870.1125,3323.1371283430694,11660.744941025627,51088.78659530026,321622.95375000004,9976553.799680002,694.5592332489687,0.011,2368545791.864995,0.08348142920315112,456693075.3843449,1660129184.7158148,610984630.8702381,236605066.51476973,213128463.06058496,1060718160.4455929,599411024.270222,307857476.92910165,90151298.74291843,110329971.68210247,579232351.331038,952670046.1708089,-353259021.90058696,69025591.63046195,592710232.8280448,50402.623588986906,22024.98581157319,4484.372865853148,10089.717538167259,6220.8038065832,7582.743566810106,425816392.3570817,100150994.00405364,149664143.48281434,79833648.85115106,76459330.96533523,31243285482.29526,2646027825.1251993,1950903444.0151136,81913330.10221425,3077756254.8805375,12000000000.0,48967069562.300995,2032816774.117328,19756761695.441025,27177491092.74265,46934252788.18367,0.0,926979003.2655596,-592710232.8280448,0.0,334268770.4375148,,414.0797024728454,527.7423613847955,1220.6014910690549,377.57118534125465,783.1423880751191,19.418021603654683,12.745975909282114,4.894864733575382,3.342993200711002,2.0668262529782218,1.0,1.05,0.93,0.88,0.85,670050717.3543845,588576749.6453477,463037637.4097169,92562646.39454858,114652196.69747145
2023-07-01,2023,7,2023-Q3,plan,Base Plan,1930761072.688394,52805167.48030596,0.0,145212763.61812502,2128779003.786825,1983566240.1687,145212763.61812502,3342.4659095737725,12231.905791172034,51804.02960763447,337704.10143750004,10375615.951667203,699.4290444976879,0.011,2394384544.6402373,0.08323098491554166,473768714.6477692,1655010289.1390557,617892185.1675967,238321036.44190323,216083193.17931753,1072296414.7888174,582713874.3502383,310211116.88480145,91126249.32336119,107814419.78777592,566025703.8858236,941330407.0299865,-358616532.6797482,81443469.15255176,596058121.0603111,50727.85772369335,22200.61614137929,4533.606131636725,10138.829748474316,6241.169099482066,7613.636602720953,429211912.0666663,101250536.93988685,150392641.2690357,80095003.44335318,76770835.74410294,31618923087.484188,2660973754.733531,1974649613.7092154,87128526.34250484,3592370906.7882967,12000000000.0,49872267749.00602,2061778140.0517201,20322787399.326847,27487702209.62745,47810489608.9543,0.0,971695726.2492375,-596058121.0603111,0.0,375637605.18892646,,414.76358876695423,529.0439164182429,1227.502949359643,380.58199099507345,790.5734640338588,19.349463108246823,12.691132188294613,4.8887320681627635,3.3462330971604404,2.0718298918342777,1.0,1.05,0.93,0.88,0.85,668787729.9575198,587489549.2092382,465072310.00316167,93391177.32640164,116020306.19207267
2023-08-01,2023,8,2023-Q3,plan,Base Plan,1932486000.9735296,56038869.23231658,0.0,152473401.79903126,2140998272.0048773,1988524870.205846,152473401.79903126,3361.9325726608286,12801.743212431084,52529.28602214135,354589.30650937505,10790640.589733891,704.3883849619409,0.011,2420619423.005268,0.08298129196079504,491229142.2963296,1649769129.7085476,624854272.2028315,240061378.33311403,219055814.5821018,1083971465.1180472,565797664.5905004,312584210.7532476,92221859.00516222,105283123.77530602,552736399.8203566,929798467.0686226,-364000802.4781222,93932625.73924688,599479516.1613657,51055.46447293824,22377.646972098835,4583.379922156363,10188.181014948419,6261.601063050471,7644.6555006841545,432634508.1272442,102362151.59482545,151124685.05506822,80357213.64248104,77083609.63189857,31993173061.542667,2676247840.006097,1999064344.9979563,92464134.23332237,4097917797.2104154,12000000000.0,50767338698.759186,2091528479.2312787,20875523799.147205,27800286420.380695,48675810219.5279,7.62939453125e-06,973729490.2198436,-599479516.1613657,0.0,374249974.0584779,,415.44860455487907,530.3486814375264,1234.4434294987911,383.61680523597994,798.0750519336522,19.279218555132704,12.635260797869831,4.882118825519435,3.349141185975686,2.076637959578497,1.0,1.05,0.93,0.88,0.85,667460370.4698678,586345716.5798341,467069211.7300988,94217701.75020379,117393000.44352518
2023-09-01,2023,9,2023-Q3,plan,Base Plan,2012991408.234994,59347351.2410992,0.0,160097071.88898283,2232435831.365076,2072338759.476093,160097071.88898283,3381.538208542638,13370.36100871629,53264.69602645133,372318.7718348438,11222266.213323247,709.436971621949,0.011,2447258710.7653313,0.08273234808491266,514938946.0789523,1717496885.2861238,631940600.603975,241826790.48464245,222115699.18668097,1095883090.2752986,621613795.0108252,314976928.6802956,93313421.42949945,114388354.63045193,600538861.8098726,991112007.6328281,-369498212.62200296,106955168.08887649,625082032.7822213,51385.46283351158,22556.089471522784,4633.700171753116,10237.772501207548,6282.099915550838,7675.80077347729,436084396.4494405,103485970.50248624,151860292.1012453,80620282.24956909,77397657.79922934,32316287216.693413,2790544789.206345,2033627528.2376347,97923129.54781368,4616044661.90376,12000000000.0,51722876667.80352,2131550657.7854483,21476062660.957077,28115263349.06099,49591326010.01807,7.62939453125e-06,948196187.9329661,-625082032.7822213,0.0,323114155.1507448,,416.13475170207073,531.6566643593368,1241.4231521217046,386.67581951181904,805.6478208477072,19.99123925289903,13.091753987290247,5.0739973671392296,3.4885142721627034,2.166193581315817,1.0,1.05,0.93,0.88,0.85,693254115.226819,609027847.3558807,488170779.916269,98921101.77159397,123617563.96443099
2023-10-01,2023,10,2023-Q4,plan,Base Plan,2115028401.838214,62732458.25142778,0.0,168101925.48343197,2345862785.5730734,2177760860.0896416,168101925.48343197,3401.2839173030397,13937.86149215089,54010.40177082165,390934.710426586,11671156.861856177,714.5744545304791,0.011,2474310870.9029727,0.08248415104065791,540996747.03478,1804866038.5382934,639170807.3325186,243617997.20516813,225282144.11027196,1108070948.6479588,696795089.8903346,317389442.3655843,94255837.7153558,126568148.41691045,664482779.18878,1071926483.2304461,-375131393.34011155,120639367.67138608,656841579.9604607,51717.87196487675,22735.954896495623,4684.572879920286,10287.605376533655,6302.665875960125,7707.07293596706,439561794.665582,104622127.65155305,152599479.75191587,80884212.0748216,77712985.43766786,32663645314.86956,2932328481.966342,2071513883.3414454,103508556.11485583,5152246874.192835,12000000000.0,52748220671.02873,2175022439.456301,22140545440.14586,28432652791.426575,50573198231.57243,0.0,1004199678.1366065,-656841579.9604607,0.0,347358098.1761458,,416.82203207706107,532.96787311989,1248.4423391110915,389.75922679706775,813.2924461979292,20.90887774262723,13.682081635071725,5.319034974112883,3.665120591290015,2.2791581262233884,1.0,1.05,0.93,0.88,0.85,726273409.0943929,638059620.5284773,514639406.02937746,104757734.97047526,131298231.21549098
